speaker,date,document,source_url,classical_episode,likely_channel,rhetorical_use,notes,record_status,use_primary,verification_status
Alexander Hamilton,14 Nov 1787,Federalist No. 6,https://founders.archives.gov/documents/Hamilton/01-04-02-0156,Pericles / attack on Samos,"Plutarch (Dryden/Tonson 1758 ed., Vol II p.34, per editorial note)",Cautionary,Personal motive (Aspasia) driving public policy; corruption theme,active_evidence,cautionary,primary_documentary_edition
James Madison (w/ Hamilton),7 Dec 1787,Federalist No. 18,https://founders.archives.gov/documents/Madison/01-10-02-0193,Amphictyonic Council / Achaean League,Félice's Code de l'humanité + Polybius (per Madison's own 1786 research notes),Cautionary,"Confederacy weakness argument; traces to Madison's 'Notes on Ancient and Modern Confederacies,' 1786",active_evidence,cautionary,primary_documentary_edition
James Madison,12 Jan 1788,Federalist No. 38,https://founders.archives.gov/documents/Madison/01-10-02-0228,Solon / pragmatic lawgiving,"Plutarch, Life of Solon",Aspirational,"'Confessed he had not given [the Athenians] the best system of laws, but the best they would receive' -- used as precedent for pragmatic constitution-making",active_evidence,aspirational,primary_documentary_edition
James Madison (published as Publius),13 Feb 1788,Federalist No. 55,https://founders.archives.gov/documents/Hamilton/01-04-02-0204,Athenian Assembly / mob,Likely Rollin-style narrative frame,Cautionary,VERIFIED verbatim: 'Had every Athenian citizen been a Socrates; every Athenian assembly would still have been a mob.',active_evidence,cautionary,primary_documentary_edition
John Adams,9 Apr 1788,Letter to Thomas Brand-Hollis,https://founders.archives.gov/documents/Adams/06-19-02-0217,Mixed government (monarchy/aristocracy/democracy) via Athenian comedian fragment,"Direct antiquarian research (Cumberland's Observer, seeking Greek original)",Research process,Adams actively trying to verify a classical quotation against the Greek original -- direct evidence of source-checking behavior,active_evidence,research_process,primary_documentary_edition
John Adams,18 Jan 1808,Letter to Benjamin Rush,https://founders.archives.gov/documents/Adams/99-02-02-5229,Ostracism of Aristides ('too just'),Classical tradition / Cicero comparison,"Cautionary, but reframed as universal (not uniquely democratic) flaw","'Because he was too just' -- Adams uses this to argue ALL governments resent excessive virtue, not just democracies",active_evidence,cautionary,primary_documentary_edition
John Adams,15 Apr 1800,Letter to William Griffith,https://founders.archives.gov/documents/Adams/99-02-02-4262,Solon vs. Pericles/Themistocles,General classical education,Aspirational,"'Who does not esteem the glory of Solon, greater than that of Pericles or Themistocles?' -- lawgiver ranked above conqueror",active_evidence,aspirational,primary_documentary_edition
Abigail Adams,14 May 1787,Letter to Mercy Otis Warren,https://founders.archives.gov/documents/Adams/04-08-02-0019,Pericles' Funeral Oration,Thucydides via period English translation,Aspirational,Paraphrases the 'useless if you take no part in public affairs' line to inspire patriotic service -- dated just before the Constitutional Convention opened,active_evidence,aspirational,primary_documentary_edition
James Madison,ca. Dec 1791-Mar 1792,Notes for the National Gazette Essays,https://founders.archives.gov/documents/Madison/01-14-02-0144,"Delian League treasury; Assembly procedure (Boule pre-approval, age-50 speaking rule)",Barthélemy's Voyage du Jeune Anacharsis (explicitly cited: 'Anachar: Vol. 1. p. 106') + direct citation of Aeschines,Neutral/institutional-analytical,"More careful, non-moralized institutional detail than Federalist-era citations -- different genre, different rigor",active_evidence,analytical,primary_documentary_edition
Alexander Hamilton,8 Feb 1803,"'Pericles' essay, New-York Evening Post",https://founders.archives.gov/documents/Hamilton/01-26-02-0001-0062,Pericles (as pseudonym),Self-fashioning / reception,Aspirational,Hamilton adopts 'Pericles' as a pen name for a political essay -- post-founding evidence of continued positive Periclean association,active_evidence,aspirational,primary_documentary_edition
